titre,date,extrait
Casablanca : L'AUDA va accueillir un important salon immobilier cet été Jeudi 26 Mai 2022,2022-05-26,"Ils seront une trentaine d'exposants cet été, entre le 21 et le 30 juin 2022, à faire vivre ce salon immobilier. Une période propice pour les affaires, d'autant plus que les MRE seront au Maroc. C'est du moins le pari de la FNPI et de ses membres qui souhaiten"
Dessalement de l’eau de mer : Quels enjeux pour l’agriculture nationale ? Jeudi 26 Mai 2022,2022-05-26,"Le pays qui place l’agriculture au rang de locomotive de l’économie nationale, est contraint de trouver des solutions afin d’accompagner adéquatement le développement du secteur. Outre la construction de nouveaux barrages, le déploiement en masse des tec"
"Maroc : La BAD prévoit une croissance de 1,8% en 2022 Jeudi 26 Mai 2022",2022-05-26,"En 2022, l'inflation devrait dépasser 4%, reflétant la hausse des prix des importations, ce qui affecte également la facture énergétique et le déficit du compte courant, précise ledit rapport. Conformément au Nouveau Modèle"
​​​​​Relance du tourisme : Reconvertir et réinventer Mercredi 25 Mai 2022,2022-05-25,"Et puis voilà une décision du gouvernement à effet immédiat, prise le 17 mai courant, annulant l'obligation du test PCR pour l'entrée au Maroc. Une décision prise dans le cadre de l'actualisation du protocole sanitaire national pour les voyages i"
"CESE : L’économie circulaire, un vrai levier de développement durable Mercredi 25 Mai 2022",2022-05-25,"Conscient de son potentiel pour le Maroc, le CESE met en lumière les opportunités à saisir par notre pays en adoptant ce nouveau modèle, particulièrement dans les domaines des déchets ménagers organiques et des eaux usées permettant ainsi une u"
Zone industrielle Aïn Sebaâ Hay Mohammadi : Un siècle de rayonnement national Mercredi 25 Mai 2022,2022-05-25,"Pour la célébration du centenaire de la zone industrielle Aïn Sebaâ Hay Mohammadi, l’Association de la zone industrielle Aïn Sebaâ Hay Mohammadi (AZIAN) et la préfecture de Aïn Sebaâ Hay Mohammadi n’ont pas lésin&ea"
Les collectivités territoriales ont engrangé 10 Mds de DH de recettes fiscales à fin avril 2022 Mardi 24 Mai 2022,2022-05-24,"Cette évolution fait suite à la baisse de 1,1% des impôts directs et à la hausse de 30% des impôts indirects, précise la TGR. Les recettes fiscales ont constitué 80,8% des recettes globales des collectivités territoriales à fin avril 20"
Transformation digitale : «Investir dans des applications sociales offre de nombreux avantages» Mardi 24 Mai 2022,2022-05-24,"Finances News Hebdo : Tout d’abord, parlez-nous du Salon international de la transformation digitale de l’entreprise qui est à peine à ses débuts, et quelle est sa finalité ? Said Zejjari : Le Salon EMEC Expo en est effectivement à sa 2&e"
Le Maroc réussit la première expérience mondiale de transplantation d’arganiers adultes Mardi 24 Mai 2022,2022-05-24,Cette expérience vise à concilier la préservation de cette ressource endémique du Maroc et le développement économique de la Réserve de Biosphère Arganeraie. Les arganiers existants dans des zones destinées à des activités
Oland Group : Inauguration officielle de 4 nouvelles lignes de production Mardi 24 Mai 2022,2022-05-24,"Faisant suite à une convention d’investissement signée, en février dernier, avec l’Etat, notamment avec le ministère de l’Economie et de finance, le ministère de l’Industrie et du commerce et l’Agence nationale pour la promotion de la"
Chambre des représentants : Adoption d’un projet de loi relative aux énergies renouvelables et à la régulation du secteur de l’électricité Mardi 24 Mai 2022,2022-05-24,"Présenté par le ministre délégué auprès du Chef du gouvernement chargé des Relations avec le Parlement, porte-parole du gouvernement, Mustapha Baitas, au nom de Leila Benali, ministre de la Transition énergétique et du Développeme"
G20: Le commerce international de marchandises atteint un nouveau sommet au T1 2022 Mardi 24 Mai 2022,2022-05-24,"Les exportations et les importations, mesurées en dollars américains, ont augmenté de 3.6% et 5.8% respectivement par rapport au T4 2021, explique un communiqué de l’organisation basée à Paris. Cette augmentation s'explique en grande partie par"
Crédits immobiliers : Afdal.ma dévoile les détails du baromètre mensuel des taux fixes à fin avril Mardi 24 Mai 2022,2022-05-24,"Ainsi, sur les 370 pré-accords distribués par le comparateur-courtier Afdal.ma au courant du mois d’avril, les taux fixes hors taxes ont enregistré une baisse de 0,10% au niveau des tranches de crédits immobiliers variant entre 250 000 et 800 000 DH, et entre 2 000"
La Banque mondiale débloque 350 millions de dollars pour appuyer le développement de l’économie bleue au Maroc Mardi 24 Mai 2022,2022-05-24,"Ce prêt entend stimuler la création d’emplois et la croissance économique, tout en améliorant la durabilité et la résilience des ressources naturelles, ainsi que la sécurité alimentaire, un enjeu dont l’importance s'est encore ac"
Renforcement de la convention de partenariat entre le CAM et NIRSAL Lundi 23 Mai 2022,2022-05-23,Le Crédit Agricole du Maroc a reçu le 20 Mai 2022 une délégation africaine de la « Nigeria Incentive Risk Sharing in Agricultural Lending » NIRSAL Plc. Cette visite s’inscrit dans le cadre du renouvellement du Mémorandum d’entente conclu ent
Infrastructures: 30% des routes marocaines sont à améliorer Lundi 23 Mai 2022,2022-05-23,"Dans le cadre des questions orales, des députés estiment que «la politique routière nationale connaît des disparités territoriales importantes et il est important de remédier à ces lacunes afin d’assurer le développement des zones co"
Anouar Benazzouz élu président de la Fédération routière internationale Lundi 23 Mai 2022,2022-05-23,"Ce dernier a officiellement pris le flambeau de la présidence de l’IRF lors du sommet du Forum international des transports, qui se tient actuellement en Allemagne sous la présidence du Maroc, représenté par le ministère du Transport et de la logistique. L"
"Changement climatique: Les besoins de financement de l'Afrique entre 1,3 et 1,6 trillion de dollars en 2020-2030 Lundi 23 Mai 2022",2022-05-23,"""Le financement climatique mobilisé au niveau mondial est inférieur aux besoins de l'Afrique de 100 à 127 milliards de dollars par an entre 2020 et 2030"", a fait savoir Adesina lors d'un point de presse en marge des assemblées annuelles de la BAD, plac&e"
Intelaka : 6 MMDH de crédits accordés pour 28.665 entreprises à fin avril Lundi 23 Mai 2022,2022-05-23,"À l'occasion de cette réunion, le comité a pris acte des réalisations d’Intelaka. En effet, malgré le contexte de la crise sanitaire, les crédits accordés dans le cadre du programme Intelaka ont totalisé, à fin avril 2022, 6 mi"
Le Maroc participe à la Foire internationale de l’agriculture de Novi Sad en Serbie Lundi 23 Mai 2022,2022-05-23,"Organisée par l’ADA, cette participation marocaine s’inscrit dans le cadre de l’ambitieuse stratégie de l’Agence pour la promotion de l’investissement dans le secteur agricole et ambitionne de créer d’importants partenariats avec des investiss"
Récoltes céréalières : Une affaire de blé Dimanche 22 Mai 2022,2022-05-22,"La récolte céréalière au titre de la campagne agricole 2021-2022 est pour le moins catastrophique. Selon le ministère de l’Agriculture, il est attendu pour les principales céréales (blé tendre, blé dur et orge) une produc"
Tourisme: Un pass pour la reprise Dimanche 22 Mai 2022,2022-05-22,"Le secteur touristique retrouve petit à petit des couleurs. Certes, il n’a pas encore atteint son niveau d’avant-crise, mais les indicateurs continuent de s’améliorer à la faveur notamment du regain d’activité qui a fait suite à la ré"
Litiges immobiliers : David contre Goliath ? Samedi 21 Mai 2022,2022-05-21,"En effet, d’un côté l’acquéreur, souvent salarié de la classe moyenne, achète le plus souvent un bien immobilier à crédit sur une longue durée, dans l’espoir d’acquérir enfin un patrimoine confortable et de quali"
Le Maroc participe à la foire internationale de l'agriculture de Novi en Serbie Samedi 21 Mai 2022,2022-05-21,"L’Ambassadeur du Royaume du Maroc en Serbie, Mohammed Amine BELHAJ et le Directeur Général de l’Agence pour le Développement Agricole, El Mahdi ARRIFI, ont inauguré aujourd’hui le pavillon marocain à la 89ème &eacut"
L’ONEE explore de nouvelles possibilités de financement avec la Suisse Samedi 21 Mai 2022,2022-05-21,"Abderrahim El Hafidi, directeur général de l’Office national de l’électricité et de l’eau potable (ONEE), a reçu le jeudi 19 mai 2022 à Rabat, Dominique Aubert, vice-président senior de l’Assurance suisse contre les risques &ag"
Transition énergétique : «Le projet de loi 82-21 d’autoproduction de l’électricité est inapplicable» Vendredi 20 Mai 2022,2022-05-20,"La Quotidienne : Quelle analyse faites-vous de la situation énergétique du Maroc ? Amin Bennouna : Sans doute, je dirai que ne suis pas complètement satisfait de la situation puisqu’en termes d’énergies renouvelables, le Maroc n’en a pas fait assez. J"
Développement durable : Le ministère la Transition énergétique et l'AFD s'allient Vendredi 20 Mai 2022,2022-05-20,"Au titre de ce protocole, paraphé par Leila Benali, ministre de la Transition énergétique et du Développement durable, Rémy Rioux, Directeur Général de l'AFD et Hélène Le Gal, Ambassadrice de France au Maroc, l’AFD appuie le Ma"
Banques : Tamwilcom joue la carte de la proximité Vendredi 20 Mai 2022,2022-05-20,"Aujourd’hui, c’est un truisme d’affirmer que Tamwilcom (CCG), via le mécanisme de garantie, constitue l’une des forces motrices de la facilitation de l’accès des TPME au financement. L’ensemble des engagements consentis par Tamwilcom (hors"
"La transition énergétique, une priorité Vendredi 20 Mai 2022",2022-05-20,"Réunissant des experts internationaux de renom et d’éminents chefs d’entreprises spécialisées dans le secteur énergétique, Innov’Energy a permis aux différents participants d’échanger autour de plusieurs thématiqu"
Sociétés faisant appel public à l’épargne : L'AMMC rappelle les nouvelles règles de gouvernance Vendredi 20 Mai 2022,2022-05-20,"""Les règles relatives à la bonne gouvernance des sociétés ont connu une évolution significative ces dernières années, avec l’entrée en vigueur de nouvelles dispositions de la loi n°17-95 relative aux sociétés anonym"
Plan d'accélération industrielle : 122 milliards de dirhams d'exportations entre 2014 et 2021 Vendredi 20 Mai 2022,2022-05-20,"Intervenant lors d'une conférence initiée par l'Association pour le progrès des dirigeants (APD) et dédiée aux nouvelles orientations de la politique industrielle du Maroc, Ryad Mezzour a relevé que le Royaume dispose d'une stratégie indus"
Maroc : Les prix des carburants augmentent de 13% entre mars et avril Vendredi 20 Mai 2022,2022-05-20,"Cette variation est le résultat de la hausse de 3,0% de l’indice des produits alimentaires et de 0,9% de l’indice des produits non alimentaires, explique le HCP dans une note d'information relative à l'IPC du mois d'avril 2022. Les hausses des produits alimen"
Tourisme : Aziz Akhannouch se mobilise pour la relance de la saison touristique Jeudi 19 Mai 2022,2022-05-19,"Le Chef de Gouvernement, Aziz Akhannouch a présidé, jeudi 19 mai 2022 à Rabat, une réunion consacrée à l'examen des mesures prises pour relancer le secteur du tourisme après deux ans de crise sanitaire mondiale, notamment avec l'enregistrement"
Tenue de la 4ème édition des rencontres régionales de la Bourse de Casablanca Jeudi 19 Mai 2022,2022-05-19,"La Bourse de Casablanca a organisé l’après-midi du mercredi 18 mai, en partenariat avec le Centre régional d’investissement de la région de Casablanca-Settat, sa 4ème rencontre régionale avec les entreprises. Cette rencontre, tenue avec le sou"
Le Conseil de gouvernement approuve un projet de loi portant statut général de la fonction publique Jeudi 19 Mai 2022,2022-05-19,"Présenté par Ghita Mezzour, ministre déléguée chargée de la Transition numérique et de la Réforme de l'administration, ce projet de loi intervient en application de l'accord d'avril 2022 signé avec les partenaires sociau"
Partenariat : L’OFPPT et l’ONUDI pour une coopération triangulaire avec l’Afrique Jeudi 19 Mai 2022,2022-05-19,"Engagés conjointement pour le renforcement de la coopération triangulaire, l’OFPPT et l’ONUDI ont exprimé leur volonté pour l’élargissement des champs de collaboration en matière de formation professionnelle en faveur du continent africain."
Inauguration du club de l’agriculture à Rabat Mercredi 18 Mai 2022,2022-05-18,"Le ministre de l’Agriculture, de la Pêche maritime, du Développement rural et des Eaux et forêts, Mohammed Sadiki, a présidé le mercredi 18 mai 2022 à Rabat, l’inauguration du club de l’agriculture. Il était accompagné de la"
Red Med Private Equity lance Colombus 1 et lève 300 MDH Mercredi 18 Mai 2022,2022-05-18,"Colombus 1 est né de la vision stratégique de Red Med Capital de se positionner comme un groupe intégré autour des métiers du corporate finance, de l’asset management, du private equity et de l’intermédiation boursière, couplée &agr"
Allianz Trade : Les défaillances d’entreprises croîtront de 12% au Maroc en 2022 Mercredi 18 Mai 2022,2022-05-18,L’invasion de l’Ukraine et les mesures de confinement en Chine renforcent les pressions qui pèsent déjà sur la trésorerie des entreprises. Même si les mesures publiques de soutien et les réserves de liquidités ralentiront la dynamique de no
Souveraineté industrielle : 10 conventions d’investissement de 160MDH signées avec des PME de Fès-Meknès Mercredi 18 Mai 2022,2022-05-18,"Le ministre de l’Industrie et du commerce, R yad Mezzour, a procédé mercredi 18 mai, à Fès, à la signature de 10 conventions d’investissement dans la région de Fès-Meknès, avec des opérateurs industriels locaux, d’un mo"
Covid-19 : 52% des dirigeants marocains confiants quant à l’avenir économique Mercredi 18 Mai 2022,2022-05-18,"Le baromètre sur le moral des chefs d’entreprise élaboré par Tectra, première entreprise de travail temporaire et du recrutement au Maroc, à partir des réponses de 140 chefs d’entreprise de plus de 20 salariés, révèle que 52%"
212 Founders réalise la 1ère cession de start-up au MAROC Mercredi 18 Mai 2022,2022-05-18,"Après deux ans d'accompagnement stratégique et un investissement Seed à hauteur de 3 millions de dirhams en fonds propres, le programme 212 Founders donne de nouvelles perspectives de développement à la start-up Kifal Auto. Les équipes"
"Immobilier: Les prix en repli de 4,9% au T1-2022 Mercredi 18 Mai 2022",2022-05-18,"Le repli des prix reflète les baisses de 5,8% pour le résidentiel, de 2,9% pour les terrains et de 8,6% pour les biens à usage professionnel, précisent BAM et ANCFCC dans une note sur la tendance globale du marché immobilier au cours du 1er trimestre 2022. De so"
Banques africaines : Mobiblanc et Skaleet s'associent pour proposer des technologies de pointe Mercredi 18 Mai 2022,2022-05-18,"Ce partenariat permettra aux institutions financières de lancer de nouveaux produits digitaux innovants qu'elles pourront mettre à disposition de leurs clients particuliers et entreprises. Basée au Maroc et en Tunisie, Mobiblanc est un acteur majeur sur les marches"
Covid-19 : Voici les nouvelles conditions pour accéder au territoire marocain Mercredi 18 Mai 2022,2022-05-18,"Ainsi, pour les voyageurs de 12 ans et plus, il s'agit d'un pass vaccinal ou d'un PCR négatif ne dépassant pas 72H. Et ce, en plus d'une fiche sanitaire à renseigner en ligne http://onda.ma/form.php, à imprimer et à signer avant c"
Automobile: Les ventes européennes se sont écroulées de plus de 20% en avril Mercredi 18 Mai 2022,2022-05-18,"Avec 684.000 véhicules neufs vendus, en pleine pénurie de puces électroniques, c'est le plus faible mois d'avril enregistré par l'ACEA depuis le début de la série statistique en 1990, hors le cas exceptionnel de 2020, au début de la pand&e"
Lekjaa : Le Maroc a pu maîtriser la tendance haussière de l'inflation au plus bas niveau possible Mardi 17 Mai 2022,2022-05-17,"Lekjaa, qui répondait à des questions orales à la Chambre des Représentants, a relevé que les répercussions de deux crises majeures survenues en si peu de temps, à savoir la pandémie du covid-19 et la guerre russo-ukrainienne, ont entrain&eacut"
Banque Populaire dévoile le programme de la 2ème édition des «Régionales de l’investissement» Mardi 17 Mai 2022,2022-05-17,"A cette occasion, le groupe bancaire a tenu ce mardi 17 mai 2022 à Casablanca une conférence de presse au cours de laquelle a été présenté le planning de cette deuxième tournée, ainsi que le bilan de l’édition précéde"
Caisse de compensation : Les charges en hausse de 87% à fin avril Mardi 17 Mai 2022,2022-05-17,"La Caisse de compensation remplit toutes ses fonctions et continue à subventionner les prix des produits de base de grande consommation, a relevé Lekjaa, qui répondait à des questions orales à la Chambre des représentants. ""Les charges de la Caisse d"
Maroc : Les retenues des barrages à usage agricole accusent un déficit de 2 milliards de m3 Mardi 17 Mai 2022,2022-05-17,"Outre la faiblesse des précipitations et leur retard, le profil pluviométrique a également été caractérisé par une mauvaise répartition temporelle et territoriale, a expliqué Sadiki, qui répondait à des questions orales &ag"
Maroc : Environ 800.000 agriculteurs inscrits à la sécurité sociale Mardi 17 Mai 2022,2022-05-17,"En réponse à deux questions orales à la Chambre des représentants sur le chantier de la protection sociale des agriculteurs, Sadiki a relevé que le département de l'Agriculture a été désigné comme organe de liaison charg&"
"Le Programme ""Forsa"" fait mouche dans les petites villes et le monde rural Mardi 17 Mai 2022",2022-05-17,"""Selon les données de la plateforme électronique ""www.forsa.ma"", mise en place par le gouvernement à cet effet, ces projets portent sur divers secteurs d'activité dans l'ensemble des régions du Royaume, ce qui reflète le grand engoueme"
Lancement de la nouvelle plateforme électronique dédiée au foncier industriel au Maroc Mardi 17 Mai 2022,2022-05-17,"S’inscrivant dans le cadre de la mise en œuvre de l’accord de partenariat portant sur la conception et la mise en place d’un programme d’assistance technique et de renforcement des capacités en relation avec le foncier industriel au Maroc, conclu le 12 octobre 20"
Maroc : Les recettes touristiques en hausse de 80% à fin mars Mardi 17 Mai 2022,2022-05-17,"Cette évolution confirme une reprise du secteur, a relevé Ammor, qui répondait à une question orale à la Chambre des représentants sur ""les mesures prises en faveur du secteur du tourisme"", présentée par le groupe istiqlalien de"
ONSSA/Aid Al-Adha 1443 : Plus de 3 millions d’ovins et de caprins identifiés jusqu’au 16 mai Mardi 17 Mai 2022,2022-05-17,"Cette opération d’identification se poursuit et devrait concerner 7 millions d’ovins et de caprins à l’instar de l’année précédente, fait savoir l’ONSSA dans un communiqué, notant que les services vétérinaires de l"
Le Maroc et l’ONUDI signent un partenariat stratégique pour une industrie durable Lundi 16 Mai 2022,2022-05-16,Ladite Déclaration vise à appuyer la stratégie marocaine de lutte contre les changements climatiques par l'élaboration du plan national de mise en œuvre de l’accord de Kigali prévoyant l'abandon progressif des gaz de type hydrofluorocarbones (HF
Délais de paiement : La révision du cadre légal s’invite au Conseil de gouvernement Lundi 16 Mai 2022,2022-05-16,"Le Conseil débutera ses travaux par une présentation du ministre de l'Industrie et du Commerce sur la révision du cadre légal relatif aux délais de paiement, indique un communiqué du département du chef du gouvernement. Par la suite, le Consei"
Oujda : La plateforme d’innovation mutualisée voit le jour Lundi 16 Mai 2022,2022-05-16,"La mise en place de la PIM a été soutenue par l'Initiative spéciale Formation et emploi du ministère fédéral allemand de la Coopération économique et du Développement (BMZ), mise en œuvre, entre autres, par la Deutsche Gesellsc"
Aziz Akhannouch s'entretient avec le Directeur général de l’ONUDI Lundi 16 Mai 2022,2022-05-16,"Cette rencontre, tenue en présence de représentants de l’agence des Nations Unies, a été l’occasion d’échanger au sujet de la coopération dense et diversifiée préalablement engagée entre le Maroc et l’ONUDI mais &"
"Crédit bancaire: l'encours augmente à 989,7 MMDH à fin mars 2022 Lundi 16 Mai 2022",2022-05-16,"Dans le détail, l'encours du crédit bancaire aux agents non financiers s'est élevé à 847,6 MMDH (+2,9%) et celui aux agents financiers à 142,1 MMDH (+11,9%), précise BAM dans son tableau de bord ""crédits-dépôts bancair"
Trafic aérien : L'ONDA prévoit un taux de récupération de 75% en 2022 Lundi 16 Mai 2022,2022-05-16,"Au début de l’année 2022, l’office a enregistré une amélioration du trafic aérien sur l’ensemble des aéroports du Royaume, souligne le ministère dimanche dans un communiqué rendu public à l'issue de la réunio"
"L’or, un thermomètre défaillant ? Samedi 14 Mai 2022",2022-05-14,"Désormais, les grandes Banques centrales américaine (FED) et européenne (BCE) sont confrontées à une inflation face à laquelle elles ne peuvent rien. Les taux directeurs ramenés depuis la crise de 2008 à quasiment zéro et les politiqu"
